Company Name,Addresses
"Salesforce.com, Inc.","415 Mission Street, 3rd Floor San Francisco, CA 94105 | 350 & 320 Alpharetta, GA 30009 | 500 Boylston Street 19th Floor Boston, MA 02116 | 111 West Illinois Street Chicago, IL 60654 | 400 Room 4088, 4089, 4090, 4091 and 4092 Fort Washington, PA 19034 | 2035 NE Cornelius Pass Road Hillsboro, OR 97124 | 111 Monument Circle Indianapolis, IN 46204 | 7700 Windrose Avenue Plano, TX 75024 | 1442 2nd Street Santa Monica, CA 90401 | 0800 1822338, AT 0800 292027, CH 00800 | 950 East Paces Ferry Road NE Suite 3300 Atlanta, GA 30326 | 8000 Avalon Boulevard Suite 350 & 320 Alpharetta, GA 30009 | 929 108th Ave NE St 1800 Bellevue, WA 98004 | 8310 South Valley Highway Suite 300 Englewood, CO 80112 | 500 Office Center Drive Suite 400 Room 4088, 4089, 4090, 4091 and 4092 Fort Washington, PA 19034 | 2550 Wasser Terrace Suite 100 Herndon, VA 20171 | 300 Spectrum Center Drive Suite 1200 Irvine, CA 92618 | 361 Centennial Parkway Suite 270/280 Louisville, CO 80027 | 55 Shuman Boulevard Suite 1025 Naperville, IL 60563 | 1095 Avenue of the Americas 17th Floor New York, NY 10036 | 224 South 200 West Suite 400 Salt Lake City, UT 84101 | 2825 East Mirabeau Parkway Suite 101 Spokane, WA 99216 | 0636 M nchen Main: DE 0800 1822338, AT 0800 292027, CH 00800 | 292027, CH 00800  | 000 800 001 6000 | 65 6302 5700 | 65 6302 5777 | 612 9394 7300 | 612 9394 7399 | 1 300 MULESOFT | 61 3 9010 2100 | 61 3 9010 2009 | 64 800 450 064 | 91 8068363700 E | 91 8068363700 | 91 40 67307300 | 400 Room 4088, 4089, 4090, 4091 and 4092 | 224 South 200 W | 0800 891 1887 | 1 866 450 8123 | 0800 7253 3333 | 45 7734 2600 | 358 9 2510 8670 | 33 (0)1 72 10 94 01 | 49 (0)800 1822338 | 0800 1822338, AT 0800 | 353 14403501 | 353 14403500 | 31 (0)30-7671000 | 0800 0200431 | 0800 725 33333 | 34 800 300 229 | 46 (0)8 505 731 00 | 41 44 520 62 62 | 41 21 695 37 00 | 203 1477600 | 203 1477601 | 44 1784 607000 | 44 1784 607001 | 333 Seymour Street 7th Floor Vancouver, BC V6B 5A7 | 0636 M nchen Main: DE 0800 1822338, AT 0800 292027, CH 00800 7 | 26 Salesforce Tower 110 Bishopsgate London, UK EC2N 4A | CALL US   000"
SAP,"3999 West  Chester Pike     Newtown  Square, PA 19073"
"SAS Institute, Inc.","19 Data Discovery EnvironmentEvent Stream ProcessingSAS Developer Experience (With Open Source)SAS Machine Learning on SAS Analytics CloudSAS Visual AnalyticsSAS Visual Data Mining & Machine LearningSAS Visual StatisticsAll TrialsBuyRequest a DemoRequest Software PricingContact a SAS Sales RepresentativePartner MarketplaceWhy SASAnalyst ViewpointsCompany AwardsCompany LeadershipCustomer Success StoriesThought LeadershipInnovative R&D DesignNews Coverage & HighlightsPartner EcosystemWorld-Class Support ServicesLearningTraininge-LearningCorporate TrainingSAS Academy for Data ScienceAll TrainingMy TrainingCoursesProgramming 1Programming 2SAS Enterprise Guide 1SAS Programming for R Users  SAS Viya EnablementAll CoursesLearning Formatse-LearningLive WebClassroom LocationsVideo TutorialsAll Learning FormatsWebinarsCertificationBase ProgrammerAdvanced ProgrammerData ScientistStatistical Business AnalystPredictive ModelerAll CertificationExam PreparationCertification ManagerBooksFor BeginnersCertificationDiscountsUpcoming TitlesAll BooksAll LearningDocumentationBy ProductBase SASSAS Enterprise GuideSAS Enterprise MinerSAS/STATSAS StudioSAS Visual AnalyticsAll ProductsSoftware Updates & Product ChangesProgrammingSAS 9.4 & SAS ViyaSAS 9.3 & EarlierAdministrationSAS ViyaSAS 9.4 & Earlier Installation & ConfigurationInstall CenterSystem RequirementsThird-Party Software ReferenceTechnical PapersAll DocumentationSupportSupport HomeKnowledge BaseInstallation NotesProblem NotesUsage NotesSearch All NotesDATA Step SamplesGraphics SamplesSearch All SamplesProduct SecurityAll Knowledge BaseSupport by ProductBase SASSAS Customer Intelligence 360SAS Enterprise GuideSAS Enterprise MinerSASPySAS/STATSAS StudioSAS Visual AnalyticsAll ProductsFocus AreasProduct SecuritySupport by RoleAdministratorsDevelopersProgrammersStudentsNew to SASSupport ServicesTechnical SupportManage Your TracksMaintenanceLicensing AssistanceSupport ServicesSupport PoliciesConsultingAll ServicesDownloadsSAS Download ManagerSAS Universal ViewerStandard Deployment PlansAll DownloadsHot FixesSAS ViyaSAS 9.4Hot Fix AnnouncementsHot Fix ToolAll Hot FixesSAS Starter KitSign InCommunityNew SAS UsersSAS ProgrammingAdministration & DeploymentData ManagementMachine LearningData VisualizationStatistical ProceduresDevelopersAll CommunitiesUser GroupsAcademicsIndia Academic ProgramEducatorsStudentsFree Academic SoftwarePartnersAbout Our Partner ProgramFind a PartnerSign in to PartnerNetPartner MarketplaceEventsSAS G | 91 22 62501600 / 6749 2200 | 91 22 62501799 | 91 22 62501799  | 91 11 4937 5000 | 91 11 4943 5099 | 91 80 45656500 | 91 80 45656599 | 91 20 4911 8888 | 3rd Floor, 4th North  Avenue & 5th North Avenue,  Bandra (East), Mumbai - 400051  Maharashtra"
Sitecore Corp. AS,"1 855-SITECORE  | 1 Pope John Paul II S | 101 California Street                 Floor 16     San Francisco, CA                94111 | 200 South Tyron Street                Suite 850    Charlotte, NC                28202 | 7950 Legacy Drive                Suite #400    Plano, TX                75024 | 4250 Veterans Memorial Hwy                  Holbrook, NY                11741 | 1012 W 8th Avenue                Suite C    King Of Prussia, PA                19406 | 1750 Elm St.                11th Floor    Manchester, NH                03104 | 72 Rue Laval Street                1st Floor    Gatineau, QC                J8X 3H3"
"Siteworx, LLC",0329                            
"Sizmek, Inc.","70 countries, with local offices in many countries providing award-winning service throughout the Americas, EMEA, and APAC.Office locationsAMERICASEMEAAPACGLOBAL RESELLER PARTNERSAMERICAS Atlanta, USA3333 Piedmont Road NE 4th Floor Atlanta, GA 30305 Austin, USA2500 Bee Caves Road Building 1, Suite 150 Austin, TX 78746 Chicago, USA227 West Monroe Street Suite 1400 Chicago, Illinois 60606 King of Prussia, USA2200 Renaissance Blvd. Suite 410 King of Prussia, PA 19406 Mexico City, MexicoJuan Salvador Agraz No.73 Piso 7 Colonia Santa Fe Cuajimalpa Delegaci n Cuajimalpa de Morelos Ciudad de M xico Distrito Federal C.P. 05348 New York, USA450 W 33rd Steet, 6th Floor New York, NY 10001 Santa Monica, USA1620 26th Street Suite 4000N Santa Monica, CA 90404EMEA Belgrade, Serbia12 Djordja Stanojevica 11070 Edinburgh, ScotlandWaverley Gate 2-4 Waterloo Place Edinburgh, EH1 3EG Hamburg, GermanyAxel-Springer-Platz 3 20355 Hamburg, Germany Herzliya, Israel7 Ha Mada, St. 5th and 6th Floor 46733 Krak w, PolandBudynek Fronton Ul Kamienna 21 31-403 Krakow Poland London, UK1 Principal Place Worship Street EC2A 2FA London Madrid, SpainCalle Ramirez de Prado N 5 28045 Madrid Milan, ItalyViale Monte Grappa 3/5 20124 Milano Paris, France67 Boulevard du G n ral Leclerc 92110 Clichy FranceAPAC Beijing, ChinaBlock A Ocean International Center No. 56 East 4th Ring Road Chaoyang District, Beijing 100025 Cebu, Philippines17th Floor, Skyrise 4B, Cebu IT Park, Apas, Cebu City, Region VII, Cebu 6000, Guangzhou, ChinaUnit A05/30F Agile Center 26 Huaxia Road Zhujiang New Town, Guangzhou 510011 Melbourne, Australia8 Exhibition Street Melbourne Victoria, 3000 Shanghai, ChinaNo.369 Kaixuan Road Longemont Yes Tower Changning District Shanghai 200050 Singapore8 Marina View, Asia Square Tower 1, Level 43, Singapore 01896 | 70 countries, with local offices in many countries providing award-winning service throughout the Americas, EMEA, and APAC.Office locationsAMERICASEMEAAPACGLOBAL RESELLER PARTNERSAMERICAS Atlanta, USA3333 Piedmont Road NE 4th Floor Atlanta, GA 30305 Austin, USA2500 Bee Caves Road Building 1, Suite 150 Austin, TX 78746 Chicago, USA227 West Monroe Street Suite 1400 Chicago, Illinois 60606 King of Prussia, USA2200 Renaissance Blvd. Suite 410 King of Prussia, PA 19406 Mexico City, MexicoJuan Salvador Agraz No.73 Piso 7 Colonia Santa Fe Cuajimalpa Delegaci n Cuajimalpa de Morelos Ciudad de M xico Distrito Federal C.P. 05348 New York, USA450 W 33rd Steet, 6th Floor New York, NY 10001 Santa Monica, USA1620 26th Street Suite 4000N Santa Monica, CA 90404 | 3333 Piedmont Road NE 4th Floor Atlanta, GA 30305 Austin, USA2500 Bee Caves Road Building 1, Suite 150 Austin, TX 78746 Chicago, USA227 West Monroe Street Suite 1400 Chicago, Illinois 60606 King of Prussia, USA2200 Renaissance Blvd. Suite 410 King of Prussia, PA 19406 Mexico City, MexicoJuan Salvador Agraz No.73 Piso 7 Colonia Santa Fe Cuajimalpa Delegaci n Cuajimalpa de Morelos Ciudad de M xico Distrito Federal C.P. 05348 New York, USA450 W 33rd Steet, 6th Floor New York, NY 10001  | 70 countries, with local offices in many countries providing award-winning service throughout the Americas, EMEA, and APAC.Office locationsAMERICASEMEAAPACGLOBAL RESELLER PARTNERSAMERICAS Atlanta, USA3333 Piedmont Road NE 4th Floor Atlanta, GA 30305 Austin, USA2500 Bee Caves Road Building 1, Suite 150 Austin, TX 78746 Chicago, USA227 West Monroe Street Suite 1400 Chicago, Illinois 60606 King of Prussia, USA2200 Renaissance Blvd. Suite 410 King of Prussia, PA 19406 Mexico City, MexicoJuan Salvador Agraz No.73 Piso 7 Colonia Santa Fe Cuajimalpa Delegaci n Cuajimalpa de Morelos Ciudad de M xico Distrito Federal C.P. 05348 New York, USA450 W 33rd Steet, 6th Floor New York, NY 10001 Santa Monica, USA1620 26th Street Suite 4000N Santa Monica, CA 90404EMEA Belgrade, Serbia12 Djordja Stanojevica 11070 Edinburgh, ScotlandWaverley Gate 2-4 Waterloo Place Edinburgh, EH1 3EG Hamburg, GermanyAxel-Springer-Platz 3 20355 Hamburg, Germany Herzliya, Israel7 Ha Mada, St. 5th and 6th Floor 46733 Krak w, PolandBudynek Fronton Ul Kamienna 21 31-403 Krakow Poland London, UK1 Principal Place Worship Street EC2A 2FA London Madrid, SpainCalle Ramirez de Prado N 5 28045 Madrid Milan, ItalyViale Monte Grappa 3/5 20124 Milano Paris, France67 Boulevard du G n ral Leclerc 92110 Clichy FranceAPAC Beijing, ChinaBlock A Ocean International Center No. 56 East 4th Ring Road Chaoyang District, Beijing 100025 Cebu, Philippines17th Floor, Skyrise 4B, Cebu IT Park, Apas, Cebu City, Region VII, Cebu 6000, Guangzhou, ChinaUnit A05/30F Agile Center 26 Huaxia Road Zhujiang New Town, Guangzhou 510011 Melbourne, Australia8 Exhibition Street Melbourne Victoria, 3000 Shanghai, ChinaNo.369 Kaixuan Road Longemont Yes Tower Changning District Shanghai 200050 Singapore8 Marina View, Asia Square Tower 1, Level 43, Singapore 018960 Sydney, AustraliaLevel 5 Suite 5.02 1 Oxford Street Darlinghurst NSW 2010 Tokyo, JapanArco Tower Annex, 1-8-1 Shimomeguro, Meguro-ku, Tokyo 153-006GLOBAL RESELLER PARTNERS Amsterdam, NetherlandsTech 53 BV Athens, GreeceTailwind EMEA Ltd Bogota, ColombiaDigimark & Asociados SAS Buenos Aires, ArgentinaAdsmovil Corporation Cape Town, South AfricaBox Digital Copenhagen, DenmarkTailwind EMEA Ltd Dubai, United Arab EmiratesTailwind EMEA Ltd Herzliya, IsraelTech 53 BV Ho Chi Minh City, VietnamADV (SEA) Pte. Ltd Hyderabad, IndiaEscape Velocity Digital Private Limited Istanbul, TurkeyFEM REKLAMCILIK A.S. Jakarta, IndonesiaADV (SEA) Pte. Ltd Kowloon, Hong KongRadar360 Hong Kong Ltd Lahore, PakistanRich Media Inc Lisbon, PortugalPromasterad Portugal Moscow, RussiaAdServing Company Mumbai, IndiaEscape Velocity Digital Private Limited New Delhi, IndiaEscape Velocity Digital Private Limited Petaling Jaya, MalaysiaADV (SEA) Pte. Ltd Saint Petersburg, RussiaAdServing Company Sao Paulo, BrazilAdsmovil Corporation Singapore, SingaporeADV (SEA) Pte. Ltd Taipei City, TaiwanRadar360 Hong Kong Ltd Warsaw, PolandAdsonice Poland Sp. z o.o.WHY SIZMEKAboutLeadershipSOLUTIONSProductsSHOWCASEShowcaseAd FormatsAd FeaturesCAREERSOverviewSIGN UP FOR OUR NEWSLETTERSIGN UPP"
"Skyword, Inc.","38 Chauncy StreetFloor 14Boston, MA 02111 Washington, DC1101 K Street NWSuite 930Washington, DC 20005 Pittsburgh, PAOne PPG PlaceFloor 19Pittsburgh, PA 15222 | 02111 Washington, DC1101 K Street NWSuite 930Washington, DC 20005 Pittsburgh, PAOne PPG PlaceFloor 19Pittsburgh, PA 15222  | 38 Chauncy StreetFloor 14Boston, MA 02111 Washington, DC1101 K Street NWSuite 930Washington, DC 20005 Pittsburgh, PAOne PPG PlaceFloor 19Pittsburgh, PA 15222 SoftwareContent MarketingSocial AnalyticsSocial MarketingTalent NetworkPartners & IntegrationsServicesContent StrategyEditorial & CreativeData & InsightsTraining & SupportCompanyAbout UsCareersPressLearn MoreCreative PortfolioCustomer StoriesContent StandardResourcesGet in TouchContact UsRequest a DemoFreelance for Us  2020 Skyword, Inc.Privacy PolicyTerms and ConditionsContributor Agreement         T"
"Smartling, Inc.","1 podcast for all things localization and translation.EventsMeet us in person at events all over the globe.MoreAbout UsCareersHelp CenterPartnersMTWWWLoginLoginContact UsWe d Love to Hear from You!New York (HQ)Email:hi@Smartling.comAddress:1375 Broadway 14th FloorNew York, NY 10018Phone Number:1 (866) 707-6278LondonEmail:hi@Smartling.comAddress:84 Eccleston SquareLondon SW1V 1PX, UKPhone Number:+44 20394 | 1 podcast for all things localization and translation.EventsMeet us in person at events all over the globe.MoreAbout UsCareersHelp CenterPartnersMTWWWLoginLoginContact UsWe d Love to Hear from You!New York (HQ)Email:hi@Smartling.comAddress:1375 Broadway 14th FloorNew York, NY 10018 | 1 podcast for all things localization and translation.EventsMeet us in person at events all over the globe.MoreAbout UsCareersHelp CenterPartnersMTWWWLoginLoginContact UsWe d Love to Hear from You!New York (HQ)Email:hi@Smartling.comAddress:1375 Broadway 14th FloorNew York, NY 10018Phone Number:1 (866) 707-6278LondonEmail:hi@Smartling.comAddress:84 Eccleston SquareLondon SW1V 1PX, UKPhone Number:+44 2039481376DublinEmail:hi@Smartling.comAddress:Smartling Ireland LimitedUnit 4B Fourth Floor7-9 Dame CourtExchequer StreetD02 NH31, IrelandJoin usVisit our Learning CenterBook a demoVisit our Help CenterThe leading translation management platform to localize your content across devices and platforms.SupportContact UsStatusHelp CenterCompanyAbout UsCareersLearning CenterPartnersPersonal Data & Security FrameworkSecurityBecome a TranslatorStatement on COVID-19 PreparednessDocumentsSample Translation RFPManifestoExcellence at Every TouchpointLegalPrivacyLegalPersonal Data & Security  Copyright 2020. SMARTLING"
"Splunk, Inc.","270 Brannan Street San Francisco, CA 94107 | 500 Santana Row San Jose, CA 95128 | 5360 Legacy Place, Ste 250 Plano, TX 75024 | 1730 Minor Avenue, Suite 900 Seattle, WA 98101 | 7900 Tysons One Place, Suite 1100 McLean, VA 22102 | 1 866.GET.SPLUNK (1 866 | 65 69322677 | 7900 Tysons One Place, Suite 1100 | 1 866.438.7758 | +1 415 | 44 (0)203 204 4300 | 44 (0)2032044300 | 971 4248 6200 | 31 20 7991773 | 112 28002 M | 44 1962 392 966 | 0808 101 3751 | 972 3.9150781 | 65 3159 0906 | 61 3 9034 5158 | 1 902 722 3504 | 19 RESPONSE "
Spotify AB,"150 Greenwich Street, 62nd Floor         New York, NY 10007 | 4 World Trade Center         150 Greenwich Street, 62nd Floor         New York, NY 10007 | 54 Rue de Londres, 75008 | 0800 919 0790"
"Syncfusion, Inc.","2501 Aerial Center Parkway                              Suite 200                              Morrisville, NC 27560 | 91 44 26210413 | 2001 - 2020 S | 44 20 7084 6215 | 2020 04:08:03 PM"
SYSOMOS,"900 Ridgefield Dr. Suite 285 Raleigh, NC 27609 | 225 Bush Street Suite 1000 San Francisco, CA 94104 | 5201 Great America Pkwy Suite 320 Santa Clara, CA 95054 | 1375 Broadway 24th Floor New York City, NY 10018 | 25 York Street, Suite 1200 | 44 (0)20 7220 4500"
TapClicks,"3031 Tisch WaySuite #900San Jose, CA 95128 | 701 Edgewater DriveSuite #330Wakefield, MA 01880 | 3031 Tisch WaySuite #900San Jose, CA 95128T | 160 City RoadLondon, EC1V 2NXT | 701 Edgewater DriveSuite #330Wakefield, MA 01880T | 160 City RoadLondon, EC1V 2NXTel: +44 (0) 203-743-1372           East Coast Office     701 Edgewater DriveSuite #330Wakefield, MA 01880T"
Uberflip,"370 Dufferin St, Toronto, ON M6K 1Z8 Canada"
Viglink,"5541 Central Avenue Boulder, CO 80301 | 1 303 493 5490 | 44 20 3873 8554"
Webtrends,"317 SW Alder, Suite 850 Portland, OR 97204 Mailing Address PO Box 8129 Portland, OR 97207 | 97204 Mailing Address PO Box 8129 Portland, OR 97207  | 10 Dashboards   WebtrendsAnalytics 10 Spaces   WebtrendsAnalytics 10 ReportsAboutAbout WebtrendsPartnersContact UsLegalTerms of Subscription ServiceProfessional Services Terms and ConditionsSecurity StatementPrivacy StatementGDPR FAQCCPA FAQEnd User License AgreementCookie PolicyWebsite Terms of UseCOVID-19Contact UsLoginAnalytics 10Analytics 9Schedule Demo    Search for:       | 317 SW Alder, Suite 850 Portland, OR 97204 Mailing Address PO Box 8129 Portland, OR 97207 503-294-7025 S"
welocalize,"241 East 4th St. Suite 207 Frederick, Maryland 21701 USA o. +1 301 668 0330 f. +1 301 668 0335info@welocalize.com Welocalize Worldwide Office LocationsTHANK YOU!Your message has been sent. Someone will get back to you shortly. Follow us on Social Media: How Can We Help?Start a ProjectRegister for an EventFind Open Job PositionsBecome a Translation Provider About WelocalizeServices + SolutionsWelocalize CompaniesWorldwide Locations Headquarters Welocalize, Inc. 241 East 4th St. Suite 207 Frederick, Maryland 21701 | 241 East 4th St. Suite 207 Frederick, Maryland 21701 USA o. +1 301 668 0330 f. +1 301 668 0335info@welocalize.com Welocalize Worldwide Office LocationsTHANK YOU!Your message has been sent. Someone will get back to you shortly. Follow us on Social Media: How Can We Help?Start a ProjectRegister for an EventFind Open Job PositionsBecome a Translation Provider About WelocalizeServices + SolutionsWelocalize CompaniesWorldwide Locations Headquarters Welocalize, Inc. 241 East 4th St. Suite 207 Frederick, Maryland 21701o. +1 301.668.0330 f.  +1 301.668.0335 info@welocalize.com Connect with UsContact UsCopyright   Welocalize 2020"
Wochit,"12 E. 33rd St. New York, NY 10016 | 972 3 6203699 | 1 212 979 8343"
Zoomin,"150 West 28th St 17th floor New York, NY 10001 | 15 years of R&D experience, specializing in scaling engineering organizations and building technological and managerial processes and infrastructure. Prior to joining Zoomin, he served as VP R&D at Drove where he implemented complex technologies in order to create a full-stack martech solution. He also held leadership positions in Mediamind which went to an IPO  | 12 years' experience in B2B tech marketing to enterprises   specializing in acquisition, marketing technology, BI and operations. Ilya was previously the Head of Acquisition at WalkMe, where he built the marketing team and led customer acquisition efforts, growing the company's ARR from 0 to $100 million. He holds a BA in Economics and completed the international MBA "
ZUMOBI,"1525 4th Avenue             Suite 800             Seattle, WA 98101 | 21 West 46th Street             Suite 1105             New York, NY 10036"
